"sd.error","r2","waic","waic.dof","log.l","mu.coef","se.coef","CI.coef.1","CI.coef.2","t.stat","n.stars","ESS","rank"
"y",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,4.9075723015645,0.499916367245984,4.24876570825909,5.95354796050843,9.8167866129291,2,4,1
"X.1",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.40595695716478,65.2971294973919,-126.365755889156,133.682066194268,0.0368462898091236,0,9636,575
"X.2",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,3.2223774212771,68.5760478785554,-132.367424458875,139.983950877053,0.0469898385947198,0,10000,334
"X.3",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.48916634479711,71.1352048956431,-139.392802050383,139.926699045918,0.0349920457591818,0,9972,264
"X.4",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.8936197933554,74.1848405109637,-144.795931988574,152.518222302061,0.0255256974378147,0,9940,334
"X.5",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,3.05914732525545,77.2941973406312,-146.67009787912,158.331878481811,0.0395779687286739,0,10000,424
"X.6",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.76831961221854,80.5499039764186,-152.790051448078,162.394815149392,0.0219530939817907,0,9890,640
"X.7",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.00575454002606,85.7598179339296,-167.386155853419,172.768272031602,0.0233880456879155,0,10000,13
"X.8",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,3.47366116654596,89.0535144607109,-171.636024385681,179.369223177053,0.0390064467144471,0,10000,575
"X.9",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.40044478382985,93.5631446342145,-180.616964823787,187.199477818787,0.025655879707917,0,9791,77
"X.10",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,3.8509972790299,98.0343687043985,-191.684027335514,198.370299573881,0.0392821143230059,0,9882,106
"X.11",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,2.11257763984927,102.594504553821,-202.169631364867,205.087069637334,0.0205915282600835,0,10000,209
"X.12",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.06492326385012,106.784238418591,-210.974205065725,210.000442173156,0.00997266337823806,0,9945,575
"X.13",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.0766911175554427,107.746957771293,-214.615507744874,212.091624996544,-0.00071177060718716,0,10000,77
