"sd.error","r2","waic","waic.dof","log.l","mu.coef","se.coef","CI.coef.1","CI.coef.2","t.stat","n.stars","ESS","rank"
"y",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,-0.590062285011046,0.039533167594177,-0.685945001926914,-0.523605246043307,-14.9257527519237,2,15,1
"X.1",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.10753298289207,9.89692656778138,-18.6520693716153,20.6399613848005,0.111906759669971,0,10000,627
"X.2",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,0.9310779704931,10.3570768332268,-19.1169543718786,21.6332041322902,0.089897756431244,0,9938,4
"X.3",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.05057124400376,10.6335776713946,-19.8251634942793,22.0035803074315,0.0987975332921016,0,9667,123
"X.4",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.24002993338444,11.0737428995749,-20.4562196810937,23.2402588705609,0.111979295946273,0,10000,265
"X.5",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.06275027660494,11.7095859239123,-21.9604296890923,24.0065208247726,0.0907589972447005,0,9985,556
"X.6",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.16363783066687,12.2985102315129,-23.3032037745222,25.224717536848,0.0946161615319262,0,10000,86
"X.7",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,0.920787062953314,12.8137400942423,-23.8964165336664,26.0142378851508,0.0718593522407296,0,10000,892
"X.8",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,0.915811796354274,13.4783193654012,-25.7094091235567,27.6171041189489,0.0679470319352398,0,10000,408
"X.9",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.12286518163865,14.1131003308166,-27.0824484245221,28.7389369561822,0.0795619073993847,0,10000,86
"X.10",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.27284588952817,14.6995383606815,-27.6093088676511,30.3504429240074,0.08659087505311,0,9947,556
"X.11",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,0.989701452920115,15.3572832723725,-29.2531522590197,31.7173708383611,0.0644450867622252,0,9989,265
"X.12",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.19637721193101,15.8704177050679,-29.8629499592244,32.1940452517509,0.0753841035670392,0,10000,265
"X.13",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.31730315476144,16.6372175134481,-31.5452005427488,34.1598081326311,0.079178092953142,0,9945,123
"X.14",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.4241526013908,16.6318449728951,-31.0616859055438,34.2139750313382,0.0856280589262188,0,9888,546
"X.15",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.32897643907967,16.9893449672005,-31.5668448471909,35.2194566286617,0.0782241129157944,0,10000,165
"X.16",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.37097623855232,17.0189365661362,-32.5006089047876,34.2649676321914,0.0805559285813569,0,10000,905
"X.17",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.56684983360901,17.227944193964,-32.9245010449893,34.7928724964898,0.0909481604983359,0,9972,265
"X.18",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.54589594866842,17.0969664929747,-32.1017723978674,34.9025795675625,0.0904193120635543,0,10000,627
"X.19",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.38065100868937,17.2190463406075,-32.7213778002469,35.3863479374797,0.0801816187365379,0,9858,214
"X.20",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.38373103121082,16.6751983121213,-31.9771947890235,34.2179536333508,0.0829813838078897,0,10000,408
"X.21",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.41249195170759,16.5911533688154,-31.1805658740291,33.5132338828382,0.0851352477014946,0,9765,408
"X.22",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.44814265934736,16.3752273522874,-30.7948503836068,33.2527993910118,0.088434965096535,0,10000,265
"X.23",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.47859146204391,15.8900624079171,-29.8451389967218,32.3685371997676,0.0930513313344328,0,9963,123
"X.24",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.52798700038182,16.3390762068349,-30.5931436616843,33.966098584846,0.0935173433943986,0,10000,265
"X.25",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.25765943309217,15.7632736442044,-29.9621373588797,31.708327824571,0.0797841528022042,0,10000,556
"X.26",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.26309857606619,15.9172003137829,-30.1279268692634,32.7605780561933,0.0793543180437617,0,9784,337
"X.27",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.48743305913046,15.9002735525126,-29.4391557413099,32.9975161887059,0.0935476395558874,0,9449,627
"X.28",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.65422600415136,15.7593339792803,-29.273591968768,32.8133065161273,0.104968014912703,0,10000,556
"X.29",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.18632560693069,15.9009630420375,-29.603840130447,33.1999965629482,0.0746071545348786,0,9940,683
"X.30",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.52724011862195,16.1472627832974,-30.3472499133054,33.6531178216126,0.0945819820435276,0,9998,265
"X.31",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.63403591236308,15.9250177503091,-29.5129508202343,33.0749517214728,0.102608106187596,0,10000,79
"X.32",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.36882433297431,15.931895133863,-29.3696748437256,32.6928255829698,0.0859172321605916,0,10000,214
"X.33",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.37687652732929,15.8940761138259,-29.5509128822873,32.749714916504,0.0866282832338758,0,10000,265
"X.34",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.34448304749335,15.6186560439654,-28.5288945059785,31.5577905185858,0.0860818654120254,0,9680,743
"X.35",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.37665629496707,15.9927174629234,-29.8886838648931,32.537672205214,0.0860801985752974,0,10000,408
"X.36",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.33527744329563,16.2223297510346,-30.738652390058,32.6577872317545,0.0823110776188278,0,9397,86
"X.37",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.56645039206867,16.094485572033,-30.3164348556796,33.0930498162199,0.0973283914579199,0,10000,556
"X.38",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.28421395537138,16.0969672914153,-29.8120396222607,33.1189517078203,0.0797798698427043,0,10000,337
"X.39",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.09184014060453,16.1699393636313,-30.9516849373575,32.428763670294,0.0675228345667301,0,9961,546
"X.40",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.57205292508009,16.352608142248,-30.8928225910548,33.4291533833019,0.0961346906502699,0,9976,481
"X.41",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.22375560953608,16.3277388080591,-30.5258329370334,33.0881027473667,0.0749494846727982,0,10000,683
"X.42",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.66078112669118,16.3829840086244,-30.7934367216466,33.424335096549,0.101372321783193,0,10000,337
"X.43",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.15409376116627,16.3297975048651,-31.047788845285,33.4238267469535,0.0706741011835839,0,10000,53
"X.44",4.50757692894552e-06,0.999999999860952,-450.365363783042,59.2839023159913,466.99583052816,1.59031433386323,16.4332439778586,-30.874903336513,34.2710335352864,0.0967742179210598,0,10000,265
